name,alt_name,russian_name,wiki_de,latin_name,image_url
Sumpfrohrsänger,,Болотная камышовка,https://de.wikipedia.org/wiki/Sumpfrohrs%C3%A4nger,Acrocephalus palustris,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-sumpfrohrsaenger_jerzystrzelecki.jpg
Tannenmeise,,Московка,https://de.wikipedia.org/wiki/Tannenmeise,Peripatus ater/Parus ater,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-tannenmeise_1072253_ben_avery.jpg
Teichhuhn,,Камышница,https://de.wikipedia.org/wiki/Teichhuhn,Gallinula chloropus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-teichhuhn_adrian_van_leen_n5x03c8.jpg
Teichrohrsänger,,Тростниковая камышовка,https://de.wikipedia.org/wiki/Teichrohrs%C3%A4nger,Acrocephalus scirpaceus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-teichrohrsaenger_acrocephalus_scirpaceus_matthias_barby.jpg
Trauerschnäpper,,Мухоловка-пеструшка,https://de.wikipedia.org/wiki/Trauerschn%C3%A4pper,Ficedula hypoleuca,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-trauerschnaepper_lars_falkdalen_lindahl.jpg
Tüpfelsumpfhuhn,,Погоныш,https://de.wikipedia.org/wiki/T%C3%BCpfelsumpfhuhn,Porzana porzana,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-tuepfelsumpfhuhn_marek_szczepanek.jpg
Turmfalke,,Обыкновенная пустельга,https://de.wikipedia.org/wiki/Turmfalke,Falco tinnunculus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-turmfalke_bugdog_742852.jpg
Wacholderdrossel,,Рябинник,https://de.wikipedia.org/wiki/Wacholderdrossel,Turdus pilaris,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-wacholderdrossel_mpf.jpg
Waldkauz,,Серая неясыть,https://de.wikipedia.org/wiki/Waldkauz,Strix aluco,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-waldkauz_nottsexminer.jpg
Waldohreule,,Ушастая сова,https://de.wikipedia.org/wiki/Waldohreule,Asio otus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-waldohreule_lukasz_lukasik.jpg
Wanderfalke,,Сапсан,https://de.wikipedia.org/wiki/Wanderfalke,Falco peregrinus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-wanderfalke_georges_lignier.jpg
Wasserralle,,Водяной пастушок,https://de.wikipedia.org/wiki/Wasserralle,Rallus aquaticus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-wasserralle_pierre_dalous.jpg
Wintergoldhähnchen,,Желтоголовый королёк,https://de.wikipedia.org/wiki/Wintergoldh%C3%A4hnchen,Regulus regulus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-wintergoldhaehnchen_trzy_hem.jpg
Zaunkönig,,Крапивник,https://de.wikipedia.org/wiki/Zaunk%C3%B6nig,Troglodytes troglodytes,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-zaunkoenig_joan_kocur_779333.jpg
Zeisig,Erlenzeisig,Чиж,https://de.wikipedia.org/wiki/Zeisig,Carduelis spinus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-zeisig_marek_szczepanek.jpg
Zilpzalp,,Пеночка-теньковка,https://de.wikipedia.org/wiki/Zilpzalp,Phylloscopus collybita,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-zilpzalp_aleph.jpg
Zwergsumpfhuhn,,Погоныш-крошка,https://de.wikipedia.org/wiki/Zwergsumpfhuhn,Porzana pusilla,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-zwergsumpfhuhn__jason_girvan.jpg
Zwergschnäpper,,Малая мухоловка,https://de.wikipedia.org/wiki/Zwergschn%C3%A4pper,Ficedula parva,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/unterhaltung/zwergschnaepper_suresh_v.s.jpg
Zwergtaucher,,Малая поганка,https://de.wikipedia.org/wiki/Zwergtaucher,Tachybaptus ruficollis,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-zwergtaucher_martien_brand.jpg
